AccNo,FeaName,Sdate,Edate
SA-0414-20-79,Sports- Neo Cricket,20/01/2011,24/09/2011
SA-0414-20-79,Sports- Sports HD,02/01/2011,12/08/2011
SA-0414-86-48,Education- Animal Planet,11/04/2011,11/12/2011
SA-0414-86-48,Education- Discovery Channel,02/01/2011,16/07/2011
SA-0414-86-48,Education- Nat Geo Wild,01/01/2011,05/10/2011
SA-0414-86-48,Entertainment- AXN HD,23/02/2011,11/07/2011
SA-0414-86-48,Entertainment- AXN HD,17/07/2011,16/02/2012
SA-0414-86-48,Entertainment- FOX HD,05/01/2011,27/07/2011
SA-0414-86-48,Entertainment- STAR World HD,11/01/2011,15/08/2011
SA-0414-86-48,Entertainment- Universal Channel HD,07/01/2011,09/11/2011
SA-0414-86-48,Kids- Cartoon Network,28/01/2011,23/10/2011
SA-0414-86-48,Kids- Disney Channel,02/01/2011,20/09/2011
SA-0414-86-48,News- BBC World News,05/01/2011,05/12/2011
SA-0414-86-48,News- Sky News,22/01/2011,09/09/2011
SA-0414-86-48,Sports- All Sports Network HD,22/01/2011,12/07/2011
SA-0414-86-48,Sports- Football Channel,07/01/2011,25/07/2011
SA-0414-86-48,Sports- Neo Cricket,05/01/2011,15/07/2011
SA-0414-86-48,Sports- Neo Cricket,15/07/2011,09/04/2012
SA-0414-86-48,Sports- Sports HD,04/01/2011,06/08/2011
